country,sex,age_group,year,long_term_unemployment_rate
aus,m,total,1988,2.200000047683716
aus,m,youth,1988,2.700000047683716
aus,m,adult,1988,2.0999999046325684
aus,f,total,1988,1.7000000476837158
aus,f,youth,1988,2.5
aus,f,adult,1988,1.399999976158142
aus,mf,total,1989,1.5
aus,mf,youth,1989,1.7999999523162842
aus,mf,adult,1989,1.399999976158142
aus,m,total,1989,1.7000000476837158
aus,m,youth,1989,1.899999976158142
aus,m,adult,1989,1.7000000476837158
aus,f,total,1989,1.2999999523162842
aus,f,youth,1989,1.7999999523162842
aus,f,adult,1989,1.100000023841858
aus,mf,total,1990,1.5
aus,mf,youth,1990,1.7999999523162842
aus,mf,adult,1990,1.399999976158142
aus,m,total,1990,1.600000023841858
aus,m,youth,1990,1.7999999523162842
aus,m,adult,1990,1.600000023841858
aus,f,total,1990,1.2000000476837158
aus,f,youth,1990,1.7000000476837158
aus,f,adult,1990,1.100000023841858
aus,mf,total,1991,2.299999952316284
aus,mf,youth,1991,3.0
aus,mf,adult,1991,2.0999999046325684
aus,m,total,1991,2.5
aus,m,youth,1991,3.200000047683716
aus,m,adult,1991,2.4000000953674316
aus,f,total,1991,1.899999976158142
aus,f,youth,1991,2.700000047683716
aus,f,adult,1991,1.600000023841858
aus,mf,total,1992,3.5999999046325684
aus,mf,youth,1992,5.099999904632568
aus,mf,adult,1992,3.200000047683716
aus,m,total,1992,4.099999904632568
aus,m,youth,1992,5.699999809265137
aus,m,adult,1992,3.700000047683716
aus,f,total,1992,2.9000000953674316
aus,f,youth,1992,4.400000095367432
aus,f,adult,1992,2.4000000953674316
aus,mf,total,1993,4.0
aus,mf,youth,1993,5.099999904632568
aus,mf,adult,1993,3.700000047683716
aus,m,total,1993,4.699999809265137
aus,m,youth,1993,5.699999809265137
aus,m,adult,1993,4.400000095367432
aus,f,total,1993,3.0999999046325684
aus,f,youth,1993,4.300000190734863
aus,f,adult,1993,2.700000047683716
aus,mf,total,1994,3.5
aus,mf,youth,1994,4.300000190734863
aus,mf,adult,1994,3.299999952316284
aus,m,total,1994,4.0
aus,m,youth,1994,4.699999809265137
aus,m,adult,1994,3.799999952316284
aus,f,total,1994,2.9000000953674316
aus,f,youth,1994,3.799999952316284
aus,f,adult,1994,2.5999999046325684
aus,mf,total,1995,2.700000047683716
aus,mf,youth,1995,3.200000047683716
aus,mf,adult,1995,2.5999999046325684
aus,m,total,1995,3.0999999046325684
aus,m,youth,1995,3.5
aus,m,adult,1995,3.0999999046325684
aus,f,total,1995,2.200000047683716
aus,f,youth,1995,2.9000000953674316
