country,sex,age_group,year,total_unemployed_000
aus,f,youth,1987,132.8800048828125
aus,f,adult,1987,134.96800231933594
aus,mf,total,1988,576.218017578125
aus,mf,youth,1988,258.0199890136719
aus,mf,adult,1988,318.197998046875
aus,m,total,1988,321.0740051269531
aus,m,youth,1988,136.9739990234375
aus,m,adult,1988,184.10000610351562
aus,f,total,1988,255.1439971923828
aus,f,youth,1988,121.0459976196289
aus,f,adult,1988,134.09800720214844
aus,mf,total,1989,508.0690002441406
aus,mf,youth,1989,218.87399291992188
aus,mf,adult,1989,289.19500732421875
aus,m,total,1989,276.4649963378906
aus,m,youth,1989,110.61599731445312
aus,m,adult,1989,165.8489990234375
aus,f,total,1989,231.60400390625
aus,f,youth,1989,108.25800323486328
aus,f,adult,1989,123.34600067138672
aus,mf,total,1990,584.7999877929688
aus,mf,youth,1990,256.56298828125
aus,mf,adult,1990,328.23699951171875
aus,m,total,1990,332.2699890136719
aus,m,youth,1990,137.7519989013672
aus,m,adult,1990,194.51800537109375
aus,f,total,1990,252.52999877929688
aus,f,youth,1990,118.81099700927734
aus,f,adult,1990,133.718994140625
aus,mf,total,1991,814.4669799804688
aus,mf,youth,1991,334.5639953613281
aus,mf,adult,1991,479.90301513671875
aus,m,total,1991,489.510986328125
aus,m,youth,1991,186.73300170898438
aus,m,adult,1991,302.77801513671875
aus,f,total,1991,324.95599365234375
aus,f,youth,1991,147.83099365234375
aus,f,adult,1991,177.125
aus,mf,total,1992,925.0919799804688
aus,mf,youth,1992,368.5509948730469
aus,mf,adult,1992,556.541015625
aus,m,total,1992,566.176025390625
aus,m,youth,1992,208.8800048828125
aus,m,adult,1992,357.2959899902344
aus,f,total,1992,358.9159851074219
aus,f,youth,1992,159.67100524902344
aus,f,adult,1992,199.2449951171875
aus,mf,total,1993,939.1389770507812
aus,mf,youth,1993,350.5710144042969
aus,mf,adult,1993,588.5679931640625
aus,m,total,1993,574.0020141601562
aus,m,youth,1993,196.61700439453125
aus,m,adult,1993,377.385009765625
aus,f,total,1993,365.1369934082031
aus,f,youth,1993,153.95399475097656
aus,f,adult,1993,211.18299865722656
aus,mf,total,1994,855.5
aus,mf,youth,1994,326.3320007324219
aus,mf,adult,1994,529.1680297851562
aus,m,total,1994,505.5849914550781
aus,m,youth,1994,177.63299560546875
aus,m,adult,1994,327.9519958496094
aus,f,total,1994,349.9150085449219
aus,f,youth,1994,148.69900512695312
aus,f,adult,1994,201.21600341796875
aus,mf,total,1995,764.4970092773438
aus,mf,youth,1995,295.6260070800781
aus,mf,adult,1995,468.8710021972656
aus,m,total,1995,453.4419860839844
aus,m,youth,1995,159.38800048828125
aus,m,adult,1995,294.0539855957031
aus,f,total,1995,311.05499267578125
aus,f,youth,1995,136.23800659179688
aus,f,adult,1995,174.81700134277344
aus,mf,total,1996,779.4180297851562
aus,mf,youth,1996,298.8030090332031
aus,mf,adult,1996,480.614990234375
aus,m,total,1996,456.0050048828125
aus,m,youth,1996,164.33799743652344
aus,m,adult,1996,291.6669921875
aus,f,total,1996,323.4129943847656
aus,f,youth,1996,134.46499633789062
aus,f,adult,1996,188.947998046875
aus,mf,total,1997,778.0120239257812
aus,mf,youth,1997,299.12701416015625
aus,mf,adult,1997,478.885009765625
aus,m,total,1997,454.09100341796875
aus,m,youth,1997,169.5540008544922
aus,m,adult,1997,284.5369873046875
aus,f,total,1997,323.9209899902344
aus,f,youth,1997,129.572998046875
aus,f,adult,1997,194.34800720214844
aus,mf,total,1998,720.6199951171875
aus,mf,youth,1998,272.8330078125
aus,mf,adult,1998,447.7869873046875
aus,m,total,1998,422.9849853515625
aus,m,youth,1998,150.65699768066406
aus,m,adult,1998,272.3280029296875
aus,f,total,1998,297.635009765625
aus,f,youth,1998,122.1760025024414
aus,f,adult,1998,175.45899963378906
aus,mf,total,1999,652.4810180664062
aus,mf,youth,1999,244.89599609375
aus,mf,adult,1999,407.5849914550781
aus,m,total,1999,377.83599853515625
aus,m,youth,1999,134.32400512695312
aus,m,adult,1999,243.51199340820312
aus,f,total,1999,274.6449890136719
aus,f,youth,1999,110.5719985961914
aus,f,adult,1999,164.072998046875
aus,mf,total,2000,601.8679809570312
aus,mf,youth,2000,222.39500427246094
aus,mf,adult,2000,379.4729919433594
aus,m,total,2000,346.6659851074219
aus,m,youth,2000,122.54000091552734
aus,m,adult,2000,224.12600708007812
aus,f,total,2000,255.20199584960938
aus,f,youth,2000,99.8550033569336
aus,f,adult,2000,155.3470001220703
aus,mf,total,2001,658.3519897460938
aus,mf,youth,2001,252.78799438476562
aus,mf,adult,2001,405.5639953613281
aus,m,total,2001,379.9679870605469
aus,m,youth,2001,141.76100158691406
aus,m,adult,2001,238.20700073242188
aus,f,total,2001,278.3840026855469
aus,f,youth,2001,111.0270004272461
aus,f,adult,2001,167.35699462890625
aus,mf,total,2002,624.9970092773438
aus,mf,youth,2002,237.77699279785156
aus,mf,adult,2002,387.2200012207031
aus,m,total,2002,356.489990234375
aus,m,youth,2002,133.08399963378906
aus,m,adult,2002,223.406005859375
aus,f,total,2002,268.5069885253906
aus,f,youth,2002,104.69300079345703
aus,f,adult,2002,163.81399536132812
aus,mf,total,2003,592.2050170898438
aus,mf,youth,2003,226.56199645996094
aus,mf,adult,2003,365.64300537109375
aus,m,total,2003,324.8810119628906
aus,m,youth,2003,123.1500015258789
aus,m,adult,2003,201.7310028076172
aus,f,total,2003,267.3240051269531
aus,f,youth,2003,103.41200256347656
aus,f,adult,2003,163.91200256347656
aus,mf,total,2004,545.0490112304688
aus,mf,youth,2004,218.27000427246094
aus,mf,adult,2004,326.77899169921875
aus,m,total,2004,295.3269958496094
aus,m,youth,2004,117.16799926757812
aus,m,adult,2004,178.15899658203125
aus,f,total,2004,249.7220001220703
aus,f,youth,2004,101.10199737548828
aus,f,adult,2004,148.6199951171875
aus,mf,total,2005,523.7020263671875
aus,mf,youth,2005,209.1999969482422
aus,mf,adult,2005,314.50201416015625
aus,m,total,2005,279.2080078125
aus,m,youth,2005,110.8290023803711
aus,m,adult,2005,168.37899780273438
aus,f,total,2005,244.49400329589844
aus,f,youth,2005,98.37100219726562
aus,f,adult,2005,146.1230010986328
aus,mf,total,2006,508.489990234375
aus,mf,youth,2006,200.98899841308594
aus,mf,adult,2006,307.5010070800781
aus,m,total,2006,272.197998046875
aus,m,youth,2006,109.51100158691406
aus,m,adult,2006,162.68699645996094
aus,f,total,2006,236.29200744628906
aus,f,youth,2006,91.47799682617188
aus,f,adult,2006,144.81399536132812
aus,mf,total,2007,477.6130065917969
aus,mf,youth,2007,191.5489959716797
aus,mf,adult,2007,286.0639953613281
aus,m,total,2007,241.36900329589844
aus,m,youth,2007,100.29399871826172
aus,m,adult,2007,141.0749969482422
aus,f,total,2007,236.24400329589844
aus,f,youth,2007,91.25499725341797
aus,f,adult,2007,144.98899841308594
aus,mf,total,2008,474.46600341796875
aus,mf,youth,2008,184.71800231933594
aus,mf,adult,2008,289.74798583984375
aus,m,total,2008,242.1510009765625
aus,m,youth,2008,98.26300048828125
aus,m,adult,2008,143.88800048828125
aus,f,total,2008,232.31500244140625
aus,f,youth,2008,86.45500183105469
aus,f,adult,2008,145.86000061035156
aus,mf,total,2009,636.2449951171875
aus,mf,youth,2009,239.5500030517578
aus,mf,adult,2009,396.69500732421875
aus,m,total,2009,354.97601318359375
aus,m,youth,2009,136.02099609375
aus,m,adult,2009,218.9550018310547
aus,f,total,2009,281.2690124511719
aus,f,youth,2009,103.52899932861328
aus,f,adult,2009,177.74000549316406
aus,mf,total,2010,605.9840087890625
aus,mf,youth,2010,240.7469940185547
aus,mf,adult,2010,365.23699951171875
aus,m,total,2010,321.8940124511719
aus,m,youth,2010,129.41000366210938
aus,m,adult,2010,192.48399353027344
aus,f,total,2010,284.0899963378906
aus,f,youth,2010,111.33699798583984
aus,f,adult,2010,172.7530059814453
aus,mf,total,2011,600.322998046875
aus,mf,youth,2011,236.48800659179688
aus,mf,adult,2011,363.8349914550781
aus,m,total,2011,314.3699951171875
aus,m,youth,2011,127.80500030517578
aus,m,adult,2011,186.56500244140625
aus,f,total,2011,285.9530029296875
aus,f,youth,2011,108.68299865722656
aus,f,adult,2011,177.27000427246094
aus,mf,total,2012,625.0670166015625
aus,mf,youth,2012,243.19500732421875
aus,mf,adult,2012,381.87200927734375
aus,m,total,2012,333.6960144042969
aus,m,youth,2012,133.24899291992188
aus,m,adult,2012,200.44700622558594
aus,f,total,2012,291.3710021972656
aus,f,youth,2012,109.94599914550781
aus,f,adult,2012,181.4250030517578
aus,mf,total,2013,686.8510131835938
aus,mf,youth,2013,252.6490020751953
aus,mf,adult,2013,434.2019958496094
aus,m,total,2013,375.32000732421875
aus,m,youth,2013,138.91600036621094
aus,m,adult,2013,236.4040069580078
aus,f,total,2013,311.531005859375
aus,f,youth,2013,113.73300170898438
aus,f,adult,2013,197.79800415039062
aus,mf,total,2014,746.926025390625
aus,mf,youth,2014,276.0169982910156
aus,mf,adult,2014,470.90899658203125
aus,m,total,2014,398.5669860839844
aus,m,youth,2014,150.21800231933594
aus,m,adult,2014,248.3489990234375
aus,f,total,2014,348.3590087890625
aus,f,youth,2014,125.79900360107422
aus,f,adult,2014,222.55999755859375
aut,mf,total,1994,214.89999389648438
aut,mf,youth,1994,37.099998474121094
aut,mf,adult,1994,177.8000030517578
aut,m,total,1994,120.5999984741211
aut,m,youth,1994,20.299999237060547
aut,m,adult,1994,100.30000305175781
aut,f,total,1994,94.30000305175781
aut,f,youth,1994,16.799999237060547
aut,f,adult,1994,77.5
aut,mf,total,1995,167.10000610351562
aut,mf,youth,1995,35.599998474121094
aut,mf,adult,1995,131.5
aut,m,total,1995,84.9000015258789
aut,m,youth,1995,18.100000381469727
aut,m,adult,1995,66.80000305175781
aut,f,total,1995,82.19999694824219
aut,f,youth,1995,17.5
aut,f,adult,1995,64.69999694824219
aut,mf,total,1996,201.89999389648438
aut,mf,youth,1996,39.099998474121094
aut,mf,adult,1996,162.8000030517578
aut,m,total,1996,115.4000015258789
aut,m,youth,1996,21.5
aut,m,adult,1996,93.9000015258789
aut,f,total,1996,86.5
aut,f,youth,1996,17.600000381469727
aut,f,adult,1996,68.9000015258789
aut,mf,total,1997,193.10000610351562
aut,mf,youth,1997,40.900001525878906
aut,mf,adult,1997,152.1999969482422
aut,m,total,1997,106.0
aut,m,youth,1997,21.700000762939453
aut,m,adult,1997,84.30000305175781
aut,f,total,1997,87.0999984741211
aut,f,youth,1997,19.200000762939453
aut,f,adult,1997,67.9000015258789
aut,mf,total,1998,200.6999969482422
aut,mf,youth,1998,37.400001525878906
aut,mf,adult,1998,163.3000030517578
aut,m,total,1998,111.0
aut,m,youth,1998,18.799999237060547
aut,m,adult,1998,92.19999694824219
aut,f,total,1998,89.69999694824219
aut,f,youth,1998,18.600000381469727
aut,f,adult,1998,71.0999984741211
aut,mf,total,1999,180.3000030517578
aut,mf,youth,1999,30.700000762939453
aut,mf,adult,1999,149.60000610351562
aut,m,total,1999,100.5999984741211
aut,m,youth,1999,15.5
aut,m,adult,1999,85.0999984741211
aut,f,total,1999,79.69999694824219
aut,f,youth,1999,15.199999809265137
aut,f,adult,1999,64.5
aut,mf,total,2000,180.46200561523438
aut,mf,youth,2000,32.09299850463867
aut,mf,adult,2000,148.36900329589844
aut,m,total,2000,103.00499725341797
aut,m,youth,2000,18.917999267578125
aut,m,adult,2000,84.08699798583984
aut,f,total,2000,77.45700073242188
aut,f,youth,2000,13.175000190734863
aut,f,adult,2000,64.28199768066406
aut,mf,total,2001,153.281005859375
aut,mf,youth,2001,29.68600082397461
aut,mf,adult,2001,123.59500122070312
aut,m,total,2001,83.98100280761719
aut,m,youth,2001,16.597999572753906
aut,m,adult,2001,67.38300323486328
aut,f,total,2001,69.30000305175781
aut,f,youth,2001,13.088000297546387
aut,f,adult,2001,56.21200180053711
aut,mf,total,2002,192.3419952392578
aut,mf,youth,2002,36.62099838256836
aut,mf,adult,2002,155.7209930419922
aut,m,total,2002,112.62999725341797
aut,m,youth,2002,21.326000213623047
aut,m,adult,2002,91.30400085449219
aut,f,total,2002,79.71199798583984
aut,f,youth,2002,15.295000076293945
aut,f,adult,2002,64.41699981689453
aut,mf,total,2003,182.7100067138672
aut,mf,youth,2003,37.86000061035156
aut,mf,adult,2003,144.85000610351562
aut,m,total,2003,107.9000015258789
aut,m,youth,2003,22.06999969482422
aut,m,adult,2003,85.83000183105469
aut,f,total,2003,74.80999755859375
aut,f,youth,2003,15.789999961853027
aut,f,adult,2003,59.02000045776367
aut,mf,total,2004,213.4510040283203
aut,mf,youth,2004,57.321998596191406
aut,mf,adult,2004,156.12899780273438
aut,m,total,2004,109.47899627685547
aut,m,youth,2004,29.79400062561035
aut,m,adult,2004,79.68499755859375
aut,f,total,2004,103.97200012207031
aut,f,youth,2004,27.527999877929688
aut,f,adult,2004,76.44400024414062
aut,mf,total,2005,223.46299743652344
aut,mf,youth,2005,62.55400085449219
aut,mf,adult,2005,160.90899658203125
aut,m,total,2005,117.61399841308594
aut,m,youth,2005,35.040000915527344
aut,m,adult,2005,82.5739974975586
aut,f,total,2005,105.8489990234375
aut,f,youth,2005,27.513999938964844
aut,f,adult,2005,78.33499908447266
aut,mf,total,2006,211.68899536132812
aut,mf,youth,2006,55.74700164794922
aut,mf,adult,2006,155.94200134277344
aut,m,total,2006,108.38300323486328
aut,m,youth,2006,29.641000747680664
aut,m,adult,2006,78.74199676513672
aut,f,total,2006,103.30599975585938
aut,f,youth,2006,26.106000900268555
aut,f,adult,2006,77.19999694824219
aut,mf,total,2007,200.33999633789062
aut,mf,youth,2007,55.17599868774414
aut,mf,adult,2007,145.16400146484375
aut,m,total,2007,100.4229965209961
aut,m,youth,2007,28.479999542236328
aut,m,adult,2007,71.94300079345703
aut,f,total,2007,99.91699981689453
aut,f,youth,2007,26.695999145507812
aut,f,adult,2007,73.22100067138672
aut,mf,total,2008,171.98300170898438
aut,mf,youth,2008,50.09700012207031
aut,mf,adult,2008,121.88600158691406
aut,m,total,2008,87.53700256347656
aut,m,youth,2008,26.12700080871582
aut,m,adult,2008,61.40999984741211
aut,f,total,2008,84.44599914550781
aut,f,youth,2008,23.969999313354492
aut,f,adult,2008,60.47600173950195
aut,mf,total,2009,222.93699645996094
aut,mf,youth,2009,62.7130012512207
aut,mf,adult,2009,160.2239990234375
aut,m,total,2009,123.86299896240234
aut,m,youth,2009,34.5359992980957
aut,m,adult,2009,89.3270034790039
aut,f,total,2009,99.0739974975586
aut,f,youth,2009,28.177000045776367
aut,f,adult,2009,70.89700317382812
aut,mf,total,2010,203.41600036621094
aut,mf,youth,2010,54.3489990234375
aut,mf,adult,2010,149.06700134277344
aut,m,total,2010,112.69000244140625
aut,m,youth,2010,29.312000274658203
aut,m,adult,2010,83.37799835205078
aut,f,total,2010,90.72599792480469
aut,f,youth,2010,25.03700065612793
aut,f,adult,2010,65.68900299072266
aut,mf,total,2011,193.79299926757812
aut,mf,youth,2011,51.86000061035156
aut,mf,adult,2011,141.93299865722656
aut,m,total,2011,102.98899841308594
aut,m,youth,2011,27.261999130249023
aut,m,adult,2011,75.72699737548828
aut,f,total,2011,90.80400085449219
aut,f,youth,2011,24.597999572753906
aut,f,adult,2011,66.20600128173828
aut,mf,total,2012,208.87899780273438
aut,mf,youth,2012,54.66699981689453
aut,mf,adult,2012,154.21200561523438
aut,m,total,2012,112.6969985961914
aut,m,youth,2012,29.514999389648438
aut,m,adult,2012,83.18199920654297
aut,f,total,2012,96.18199920654297
aut,f,youth,2012,25.152000427246094
aut,f,adult,2012,71.02999877929688
aut,mf,total,2013,231.32699584960938
aut,mf,youth,2013,55.7859992980957
aut,mf,adult,2013,175.54100036621094
aut,m,total,2013,123.73600006103516
aut,m,youth,2013,28.617000579833984
aut,m,adult,2013,95.11900329589844
aut,f,total,2013,107.59100341796875
aut,f,youth,2013,27.16900062561035
aut,f,adult,2013,80.4219970703125
aut,mf,total,2014,244.88900756835938
aut,mf,youth,2014,58.236000061035156
aut,mf,adult,2014,186.6529998779297
aut,m,total,2014,134.656005859375
aut,m,youth,2014,31.391000747680664
aut,m,adult,2014,103.26499938964844
aut,f,total,2014,110.23300170898438
aut,f,youth,2014,26.844999313354492
aut,f,adult,2014,83.38800048828125
aze,mf,total,2009,260.1919860839844
aze,mf,youth,2009,90.78299713134766
aze,mf,adult,2009,169.40899658203125
aze,m,total,2009,114.21199798583984
aze,m,youth,2009,39.39799880981445
aze,m,adult,2009,74.81400299072266
aze,f,total,2009,145.97999572753906
aze,f,youth,2009,51.3849983215332
aze,f,adult,2009,94.59500122070312
aze,mf,total,2010,258.29998779296875
aze,mf,youth,2010,90.64700317382812
aze,mf,adult,2010,167.6529998779297
aze,m,total,2010,102.30000305175781
aze,m,youth,2010,40.26599884033203
aze,m,adult,2010,62.034000396728516
aze,f,total,2010,156.0
aze,f,youth,2010,50.38100051879883
aze,f,adult,2010,105.61900329589844
aze,mf,total,2011,250.7530059814453
aze,mf,youth,2011,87.2760009765625
aze,mf,adult,2011,163.4770050048828
aze,m,total,2011,104.84700012207031
aze,m,youth,2011,44.069000244140625
aze,m,adult,2011,60.77799987792969
aze,f,total,2011,145.906005859375
aze,f,youth,2011,43.207000732421875
aze,f,adult,2011,102.6989974975586
aze,mf,total,2012,243.1020050048828
aze,mf,youth,2012,82.12699890136719
aze,mf,adult,2012,160.97500610351562
aze,m,total,2012,103.51599884033203
aze,m,youth,2012,37.145999908447266
aze,m,adult,2012,66.37000274658203
aze,f,total,2012,139.58599853515625
aze,f,youth,2012,44.98099899291992
aze,f,adult,2012,94.6050033569336
aze,mf,total,2013,236.60000610351562
aze,mf,youth,2013,79.26100158691406
aze,mf,adult,2013,157.33900451660156
aze,m,total,2013,98.5
aze,m,youth,2013,36.04399871826172
aze,m,adult,2013,62.45600128173828
aze,f,total,2013,138.10000610351562
aze,f,youth,2013,43.21699905395508
aze,f,adult,2013,94.88300323486328
bhs,mf,total,2009,26.21500015258789
bhs,m,total,2009,13.5649995803833
bhs,f,total,2009,12.649999618530273
bhr,mf,total,2001,16.96500015258789
bhr,m,total,2001,9.95300006866455
bhr,f,total,2001,7.01200008392334
bhr,mf,total,2004,12.432000160217285
bhr,m,total,2004,7.179999828338623
bhr,f,total,2004,5.251999855041504
brb,mf,total,1992,28.700000762939453
brb,m,total,1992,13.199999809265137
brb,f,total,1992,15.5
brb,mf,total,1993,30.799999237060547
brb,m,total,1993,14.0
brb,f,total,1993,16.899999618530273
brb,mf,total,1994,29.600000381469727
brb,m,total,1994,12.100000381469727
brb,f,total,1994,17.5
brb,mf,total,1995,31.200000762939453
brb,m,total,1995,12.800000190734863
brb,f,total,1995,18.399999618530273
brb,mf,total,1996,21.100000381469727
brb,m,total,1996,8.600000381469727
brb,f,total,1996,12.600000381469727
brb,mf,total,1997,19.700000762939453
brb,m,total,1997,7.900000095367432
brb,f,total,1997,11.800000190734863
brb,mf,total,1998,17.0
brb,m,total,1998,5.800000190734863
brb,f,total,1998,10.699999809265137
brb,mf,total,1999,14.199999809265137
brb,m,total,1999,5.5
brb,f,total,1999,8.699999809265137
brb,mf,total,2000,12.800000190734863
